product_name,price,url
Off-white Embroidered Socia,Rp 359.000,/collections/women/products/off-white-embroidered-socia-1
Navy Embroidered Elusi,Rp 329.000,/collections/women/products/navy-embroidered-elusi-1
Off-white Striped Durov,Rp 279.000,/collections/women/products/off-white-striped-durov
Black Bow Attal,Rp 319.000,/collections/women/products/black-bow-attal
Blue Bow Anja,Rp 409.000,/collections/women/products/blue-bow-anja
Off-white Striped Katter,Rp 429.000,/collections/women/products/off-white-striped-katter
Aditi Krem,Rp 359.000,/collections/women/products/aditi-krem-copy-1
Aditi Merah Jambu,Rp 359.000,/collections/women/products/aditi-krem-pre-order-14-oct-copy
Aditi Biru Laut,Rp 359.000,/collections/women/products/aditi-merah-jambu-pre-order-14-oct-copy
Janitra Biru Laut,Rp 349.000,/collections/women/products/janitra-merah-jambu-copy-1
Sita Merah Jambu,Rp 359.000,/collections/women/products/sita-merah-jambu-copy
Amala Biru Laut,Rp 329.000,/collections/women/products/amala-copy-1
Aruna B,Rp 329.000,/collections/women/products/aruna-copy-1
Betari Merah Jambu,Rp 279.000,/collections/women/products/betari-copy
Betari Sekarlana,Rp 279.000,/collections/women/products/betari-merah-jambu-pre-order-14-oct-copy
Cream Maupin,Rp 379.000,/collections/women/products/cream-maupin-copy
Black Striped Ardor,Rp 499.000,/collections/women/products/black-striped-ardor-pre-order-27-sept-copy
Black Monochrome Gemmell,Rp 399.000,/collections/women/products/black-monochrome-gemmell-pre-order-27-sept-copy
Patchwork Faure,Rp 349.000,/collections/women/products/patchwork-faure
Pixel Devon,Rp 349.000,/collections/women/products/pixel-devon
Patchwork Sherica,Rp 349.000,/collections/women/products/patchwork-sherica
Patchwork Amaury,Rp 349.000,/collections/women/products/patchwork-amaury
Patchwork Arnika,Rp 349.000,/collections/women/products/patchwork-arnika
Pixel Pisano,Rp 349.000,/collections/women/products/pixel-pisano
Pixel Gauri,Rp 359.000,/collections/women/products/pixel-gauri
Light Wash Denim Devon,Rp 399.000,/collections/women/products/light-wash-denim-devon
Patchwork Merdin,Rp 249.000,/collections/women/products/patchwork-merdin
Patchwork Elner,Rp 229.000,/collections/women/products/patchwork-elner
Pixel Baero,Rp 309.000,/collections/women/products/pixel-baero
Light Wash Denim Svita,Rp 369.000,/collections/women/products/light-wash-denim-svita
Navy Embroidered Bahia,Rp 389.000,/collections/women/products/navy-embroidered-bahia
Dark Grey Denim Melitta,Rp 429.000,/collections/women/products/dark-grey-denim-melitta
Dark Grey Denim Chevette,Rp 379.000,/collections/women/products/dark-grey-denim-chevette
Pixel Alessi,Rp 379.000,/collections/women/products/pixel-alessi
Patchwork Ellida,Rp 429.000,/collections/women/products/patchwork-ellida
Denim Magni,Rp 399.000,/collections/women/products/denim-magni
Black Odem,Rp 499.000,/collections/women/products/black-odem
Red Odem,Rp 499.000,/collections/women/products/red-odem
Black Chateau,Rp 369.000,/collections/women/products/black-chateau
Black Birger,Rp 399.000,/collections/women/products/black-birger
Black Bow Rummer,Rp 379.000,/collections/women/products/black-bow-rummer
Black Matin,Rp 379.000,/collections/women/products/black-matin
Cream Matin,Rp 379.000,/collections/women/products/cream-matin
Off-white Saint,Rp 359.000,/collections/women/products/off-white-saint
Navy Saint,Rp 359.000,/collections/women/products/navy-saint
Pink Dahl,Rp 359.000,/collections/women/products/pink-dahl
Light Blue Dahl,Rp 359.000,/collections/women/products/light-blue-dahl
Navy Tove,Rp 349.000,/collections/women/products/navy-tove
Pink Tove,Rp 349.000,/collections/women/products/pink-tove
Flower Ornament Adora,Rp 429.000,/collections/women/products/flower-ornament-adora
Red Avenue,Rp 449.000,/collections/women/products/red-avenue
Navy Avenue,Rp 449.000,/collections/women/products/navy-avenue
Cream Romaine,Rp 379.000,/collections/women/products/cream-romaine
Navy Ilaria,Rp 299.000,/collections/women/products/navy-ilaria-copy
Black Licia,Rp 279.000,/collections/women/products/black-licia
